id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated
sui,sui,Sui,https://coin-images.coingecko.com/coins/images/26375/large/sui-ocean-square.png?1727791290,2.91,10047797978,15,29081776035,391947276.0,2.91,2.86,-0.002244091862770858,-0.07711,-14641382.974506378,-0.14551,3455015252.817221,10000000000.0,10000000000.0,5.35,-45.79362,2025-01-04T22:56:18.063Z,0.364846,694.35651,2023-10-19T10:40:30.078Z,,2025-07-06T13:01:32.754Z
bitcoin-cash,bch,Bitcoin Cash,https://coin-images.coingecko.com/coins/images/780/large/bitcoin-cash-circle.png?1696501932,487.92,9704674834,16,9704674834,144491994.0,489.49,481.51,5.53,1.14665,104893157.0,1.09266,19893468.64665078,19893468.64665078,21000000.0,3785.82,-87.11256,2017-12-20T00:00:00.000Z,76.93,534.16742,2018-12-16T00:00:00.000Z,,2025-07-06T13:01:35.819Z
chainlink,link,Chainlink,https://coin-images.coingecko.com/coins/images/877/large/chainlink-new-logo.png?1696502009,13.25,8976226824,17,13237320771,139271218.0,13.26,13.01,0.054359,0.41209,31828006.0,0.35584,678099970.4527868,1000000000.0,1000000000.0,52.7,-74.87382,2021-05-10T00:13:57.214Z,0.148183,8835.32104,2017-11-29T00:00:00.000Z,,2025-07-06T13:01:26.259Z
leo-token,leo,LEO Token,https://coin-images.coingecko.com/coins/images/8418/large/leo-token.png?1696508607,9.04,8344327203,18,8905841170,1328134.0,9.05,9.01,0.01544044,0.17111,14379441.0,0.17262,923120077.9,985239504.0,,10.14,-10.83606,2025-03-10T09:26:43.294Z,0.799859,1029.80679,2019-12-24T15:14:35.376Z,,2025-07-06T13:01:28.490Z
avalanche-2,avax,Avalanche,https://coin-images.coingecko.com/coins/images/12559/large/Avalanche_Circle_RedWhite_Trans.png?1696512369,18.01,7597620181,19,8227506682,113672568.0,18.0,17.64,0.120613,0.67439,46635096.0,0.6176,422197955.8270983,457200599.6447012,720000000.0,144.96,-87.61981,2021-11-21T14:18:56.538Z,2.8,540.70215,2020-12-31T13:15:21.540Z,,2025-07-06T13:01:35.571Z
stellar,xlm,Stellar,https://coin-images.coingecko.com/coins/images/100/large/fmpFRHHQ_400x400.jpg?1735231350,0.241243,7456788553,20,12052612533,99780946.0,0.242196,0.235176,0.004118,1.73664,129349063.0,1.76527,30935430068.68136,50001786892.81784,50001786892.81784,0.875563,-72.46094,2018-01-03T00:00:00.000Z,0.00047612,50542.71908,2015-03-05T00:00:00.000Z,,2025-07-06T13:01:32.295Z
usds,usds,USDS,https://coin-images.coingecko.com/coins/images/39926/large/usds.webp?1726666683,0.999844,7396233931,21,7396233931,4609276.0,1.0,0.999696,-8.8457620423532e-05,-0.00885,13441861.0,0.18207,7395825948.351729,7395825948.351729,,1.057,-5.42771,2024-10-29T05:40:51.197Z,0.948265,5.44876,2024-10-03T13:19:28.826Z,,2025-07-06T13:01:33.208Z
the-open-network,ton,Toncoin,https://coin-images.coingecko.com/coins/images/17980/large/photo_2024-09-10_17.09.00.jpeg?1725963446,2.93,7224808155,22,15027520615,558233869.0,3.03,2.72,0.183956,6.70808,455761663.0,6.73303,2468517912.990012,5134489806.716709,,8.25,-64.70675,2024-06-15T00:36:51.509Z,0.519364,460.87203,2021-09-21T00:33:11.092Z,,2025-07-06T13:01:32.999Z
shiba-inu,shib,Shiba Inu,https://coin-images.coingecko.com/coins/images/11939/large/shiba.png?1696511800,1.17e-05,6889461467,23,6892438517,83339598.0,1.168e-05,1.136e-05,2.48143e-07,2.16758,145368172.0,2.15549,589248060212065.4,589502684022655.8,,8.616e-05,-86.49979,2021-10-28T03:54:55.568Z,5.6366e-11,20635627.46232,2020-11-28T11:26:25.838Z,,2025-07-06T13:01:31.971Z
wrapped-eeth,weeth,Wrapped eETH,https://coin-images.coingecko.com/coins/images/33033/large/weETH.png?1701438396,2699.53,6792083449,24,6792083449,4218600.0,2705.31,2667.78,1.13,0.0418,1118110.0,0.01646,2518186.709576468,2518186.709576468,,4311.81,-37.41281,2024-12-06T20:32:25.758Z,1505.24,79.28369,2025-04-09T03:45:31.391Z,,2025-07-06T13:01:33.632Z
litecoin,ltc,Litecoin,https://coin-images.coingecko.com/coins/images/2/large/litecoin.png?1696501400,87.39,6642891902,25,6643287208,199158369.0,87.76,86.14,0.78952,0.91165,58825793.0,0.89346,76040008.23347135,76044533.23347135,84000000.0,410.26,-78.69956,2021-05-10T03:13:07.904Z,1.15,7506.53934,2015-01-14T00:00:00.000Z,,2025-07-06T13:01:29.259Z
weth,weth,WETH,https://coin-images.coingecko.com/coins/images/2518/large/weth.png?1696503332,2520.97,6607980076,26,6607980076,45026600.0,2525.55,2490.38,2.14,0.08514,20045261.0,0.30427,2622955.181114632,2622955.181114632,,4799.89,-47.49873,2021-11-09T00:00:00.000Z,82.1,2969.30599,2018-12-15T00:00:00.000Z,,2025-07-06T13:01:34.214Z
hedera-hashgraph,hbar,Hedera,https://coin-images.coingecko.com/coins/images/3688/large/hbar.png?1696504364,0.155603,6597117793,27,7781191046,111593538.0,0.156483,0.152387,0.00067036,0.43268,38811425.0,0.59179,42391439525.54953,50000000000.0,50000000000.0,0.569229,-72.66149,2021-09-15T10:40:28.318Z,0.00986111,1478.10518,2020-01-02T17:30:24.852Z,,2025-07-06T13:01:27.604Z
whitebit,wbt,WhiteBIT Coin,https://coin-images.coingecko.com/coins/images/27045/large/wbt_token.png?1696526096,45.2,6513883558,28,14638634362,16043356.0,45.74,45.1,-0.40181603277435585,-0.88118,-55351670.96626091,-0.84259,144118517.10815412,323877186.0,400000000.0,52.27,-13.51451,2025-06-16T09:30:18.527Z,3.06,1376.45738,2023-02-13T19:01:21.899Z,,2025-07-06T13:01:33.403Z
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),https://coin-images.coingecko.com/coins/images/35021/large/USDT.png?1707233575,0.999932,6289743934,29,6289743934,4617502941.0,1.002,0.998615,0.00023839,0.02385,6733607.0,0.10717,6284993699.466519,6284993699.466519,,1.05,-4.69786,2024-08-05T14:21:42.527Z,0.942186,6.2036,2024-12-05T22:30:39.827Z,,2025-07-06T13:01:35.588Z
monero,xmr,Monero,https://coin-images.coingecko.com/coins/images/69/large/monero_logo.png?1696501460,315.5,5811678463,30,5811678463,62194103.0,316.9,311.57,3.85,1.23682,66074488.0,1.15,18446744.07370955,18446744.07370955,,542.33,-41.86538,2018-01-09T00:00:00.000Z,0.216177,145743.15833,2015-01-14T00:00:00.000Z,,2025-07-06T13:01:29.261Z
ethena-usde,usde,Ethena USDe,https://coin-images.coingecko.com/coins/images/33613/large/usde.png?1733810059,1.0,5307566191,31,5307566191,82172524.0,1.001,0.99966,-0.000540236068478084,-0.05398,-630099.4502010345,-0.01187,5306270594.624205,5306270594.624205,,1.032,-3.03529,2023-12-20T15:38:34.596Z,0.929486,7.66761,2024-10-04T07:57:15.809Z,,2025-07-06T13:01:26.521Z
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,https://coin-images.coingecko.com/coins/images/40143/large/cbbtc.webp?1726136727,108229.0,5302174737,32,5302174737,89085465.0,108563.0,107845.0,48.32,0.04466,26993150.0,0.5117,48989.23325182,48989.23325182,,112129.0,-3.31647,2025-05-22T19:26:16.485Z,57439.0,88.74078,2024-09-12T14:07:41.775Z,,2025-07-06T13:01:26.309Z
polkadot,dot,Polkadot,https://coin-images.coingecko.com/coins/images/12171/large/polkadot.png?1696512008,3.37,5136515693,33,5136515693,91801705.0,3.37,3.31,0.01652054,0.49192,25296035.0,0.49491,1522267060.0,1522267060.0,,54.98,-93.88063,2021-11-04T14:10:09.301Z,2.7,24.72811,2020-08-20T05:48:11.359Z,,2025-07-06T13:01:31.344Z
bitget-token,bgb,Bitget Token,https://coin-images.coingecko.com/coins/images/11610/large/Bitget_logo.png?1736925727,4.38,5132667180,34,5132667180,15531684.0,4.4,4.37,-0.013175774691627673,-0.29958,-14419201.275344849,-0.28014,1169993089.2,1169993089.2,2000000000.0,8.45,-48.06239,2024-12-27T11:41:24.992Z,0.0142795,30635.64008,2020-06-25T04:17:05.895Z,,2025-07-06T13:01:35.313Z
uniswap,uni,Uniswap,https://coin-images.coingecko.com/coins/images/12504/large/uniswap-logo.png?1720676669,7.32,4394738578,35,7318671866,399506693.0,7.38,6.88,0.326767,4.67511,197501599.0,4.70551,600483073.71,1000000000.0,1000000000.0,44.92,-83.73997,2021-05-03T05:25:04.822Z,1.03,608.97851,2020-09-17T01:20:38.214Z,,2025-07-06T13:01:34.262Z
pepe,pepe,Pepe,https://coin-images.coingecko.com/coins/images/29850/large/pepe-token.jpeg?1696528776,9.89e-06,4156931357,36,4156931357,378151798.0,9.88e-06,9.56e-06,1.93083e-07,1.9903,75924778.0,1.86044,420690000000000.0,420690000000000.0,420690000000000.0,2.803e-05,-64.85513,2024-12-09T16:30:35.828Z,5.5142e-08,17763.69669,2023-04-18T02:14:41.591Z,,2025-07-06T13:01:30.616Z
aave,aave,Aave,https://coin-images.coingecko.com/coins/images/12645/large/aave-token-round.png?1720472354,272.46,4133451004,37,4358031736,230595811.0,276.07,267.72,-0.8344188753157482,-0.30532,-8851176.99306345,-0.21368,15175478.30781338,16000000.0,16000000.0,661.69,-58.9633,2021-05-18T21:19:59.514Z,26.02,943.43949,2020-11-05T09:20:11.928Z,,2025-07-06T13:01:34.049Z
dai,dai,Dai,https://coin-images.coingecko.com/coins/images/9956/large/Badge_Dai.png?1696509996,0.999904,3631405044,38,3631405044,30865319.0,1.0,0.999557,5.293e-05,0.00529,-8018842.164988041,-0.22033,3632057648.918079,3632057648.918079,,1.22,-17.97601,2020-03-13T03:02:50.373Z,0.88196,13.36291,2023-03-11T07:50:50.514Z,,2025-07-06T13:01:26.431Z
pi-network,pi,Pi Network,https://coin-images.coingecko.com/coins/images/54342/large/pi_network.jpg?1739347576,0.451549,3449226233,39,5306501897,64206970.0,0.465311,0.447492,-0.009998313786828139,-2.16626,-77745871.20266867,-2.20432,7641645578.265015,11756377812.7154,100000000000.0,2.99,-84.87325,2025-02-26T16:41:03.732Z,0.406999,11.03926,2025-04-05T04:50:37.033Z,,2025-07-06T13:01:30.444Z
ethena-staked-usde,susde,Ethena Staked USDe,https://coin-images.coingecko.com/coins/images/33669/large/sUSDe-Symbol-Color.png?1716307680,1.18,3138556200,40,3138556200,8922204.0,1.18,1.18,0.00043141,0.03663,-286888.7817659378,-0.00914,2663678808.195875,2663678808.195875,,1.29,-8.7028,2025-01-29T17:52:32.991Z,1.012,16.42872,2024-04-03T14:23:03.162Z,,2025-07-06T13:01:26.614Z
okb,okb,OKB,https://coin-images.coingecko.com/coins/images/4463/large/WeChat_Image_20220118095654.png?1696505053,48.44,2906170297,41,11428886939,10925529.0,48.92,48.1,-0.35261330727344387,-0.72269,-22442357.73675108,-0.76631,60000000.0,235957685.3,300000000.0,73.8,-34.36831,2024-03-14T00:30:12.502Z,0.580608,8242.70041,2019-01-14T00:00:00.000Z,,2025-07-06T13:01:29.651Z
bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,323.15,2898202000,42,6787409785,37130366.0,323.51,318.18,1.1,0.34177,8909853.0,0.30837,8966932.0,21000000.0,21000000.0,757.6,-57.47935,2024-03-07T18:45:36.466Z,30.83,944.88775,2023-05-14T08:57:53.732Z,,2025-07-06T13:01:35.247Z
aptos,apt,Aptos,https://coin-images.coingecko.com/coins/images/26455/large/aptos_round.png?1696525528,4.45,2867613574,43,5128084481,98794218.0,4.45,4.36,0.02520731,0.56973,18471709.0,0.64833,644559213.934285,1152649761.726482,,19.92,-77.70151,2023-01-26T14:25:17.390Z,3.08,44.22869,2022-12-29T21:35:14.796Z,,2025-07-06T13:01:35.135Z
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,https://coin-images.coingecko.com/coins/images/36291/large/blackrock.png?1711013223,1.0,2833937573,44,2833937573,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2833937572.533854,2833937572.533854,,1.0,0.0,2025-02-12T05:00:10.912Z,1.0,0.0,2025-02-12T05:45:10.196Z,,2025-07-06T12:55:10.783Z
jito-staked-sol,jitosol,Jito Staked SOL,https://coin-images.coingecko.com/coins/images/28046/large/JitoSOL-200.png?1696527060,180.78,2651358798,46,2651358798,20109017.0,180.78,177.39,0.760313,0.42235,3280959.0,0.1239,14666379.78977292,14666379.78977292,,339.52,-46.9198,2025-01-19T11:21:54.080Z,0.57898,31026.84764,2023-09-12T10:21:17.665Z,,2025-07-06T13:01:28.613Z
near,near,NEAR Protocol,https://coin-images.coingecko.com/coins/images/10365/large/near.jpg?1696510367,2.15,2648671139,45,2708038956,82833503.0,2.16,2.1,0.0282836,1.33189,33746839.0,1.29055,1231381224.0,1258981636.0,,20.44,-89.5148,2022-01-16T22:09:45.873Z,0.526762,306.82041,2020-11-04T16:09:15.137Z,,2025-07-06T13:01:29.897Z
internet-computer,icp,Internet Computer,https://coin-images.coingecko.com/coins/images/14495/large/Internet_Computer_logo.png?1696514180,4.79,2561486530,47,2561486530,31339244.0,4.79,4.69,0.04136894,0.8718,21492732.0,0.84617,535112165.1687093,535112165.1687093,,700.65,-99.31825,2021-05-10T16:05:53.653Z,2.87,66.72323,2023-09-22T00:29:57.369Z,,2025-07-06T13:01:28.233Z
crypto-com-chain,cro,Cronos,https://coin-images.coingecko.com/coins/images/7310/large/cro_token_logo.png?1696507599,0.08066,2510325372,48,7890597735,8201610.0,0.081159,0.080356,-0.000442437619281894,-0.54553,-12964125.275421143,-0.51378,31120846999.54207,97820819411.32947,100000000000.0,0.965407,-91.63439,2021-11-24T15:53:54.855Z,0.0121196,566.37711,2019-02-08T00:00:00.000Z,,2025-07-06T13:01:25.935Z
ethereum-classic,etc,Ethereum Classic,https://coin-images.coingecko.com/coins/images/453/large/ethereum-classic-logo.png?1696501717,16.44,2506997402,49,2507078119,22839918.0,16.44,16.13,0.141318,0.86711,20646951.0,0.83041,152593719.3298309,152598632.3538309,210700000.0,167.09,-90.16095,2021-05-06T18:34:22.133Z,0.615038,2572.94173,2016-07-25T00:00:00.000Z,"{'times': 35.53071243002511, 'currency': 'usd', 'percentage': 3553.071243002511}",2025-07-06T13:01:27.162Z
ondo-finance,ondo,Ondo,https://coin-images.coingecko.com/coins/images/26580/large/ONDO.png?1696525656,0.78372,2475450616,50,7835917561,59376316.0,0.783885,0.767863,0.00587858,0.75576,19066049.0,0.77618,3159107529.0,10000000000.0,10000000000.0,2.14,-63.47325,2024-12-16T00:36:00.777Z,0.082171,851.34505,2024-01-18T12:14:30.524Z,,2025-07-06T13:01:30.301Z
susds,susds,sUSDS,https://coin-images.coingecko.com/coins/images/52721/large/sUSDS_Coin.png?1734086971,1.058,2360586963,51,2360586963,2634531.0,1.058,1.058,0.00015445,0.0146,2035688.0,0.08631,2231162865.384995,2231162865.384995,,1.088,-2.74531,2025-02-03T02:31:35.208Z,0.961716,10.01665,2025-01-04T01:21:08.460Z,,2025-07-06T13:01:32.040Z
usd1-wlfi,usd1,USD1,https://coin-images.coingecko.com/coins/images/54977/large/USD1_1000x1000_transparent.png?1749297002,0.999814,2203664929,52,2203664929,306559768.0,1.001,0.998953,0.0002451,0.02452,-1751660.605231762,-0.07943,2203847519.0,2203847519.0,,1.025,-2.4182,2025-05-12T12:36:39.412Z,0.989703,1.04482,2025-04-16T00:36:15.580Z,,2025-07-06T13:01:32.951Z
kaspa,kas,Kaspa,https://coin-images.coingecko.com/coins/images/25751/large/kaspa-icon-exchanges.png?1696524837,0.075726,1996878010,53,2000478438,36315311.0,0.075768,0.073914,0.00030424,0.40339,7176615.0,0.36069,26363807936.34678,26411342629.43956,28704026601.0,0.207411,-63.52418,2024-08-01T00:40:47.164Z,0.00017105,44129.79251,2022-05-26T14:42:59.316Z,,2025-07-06T13:01:28.293Z
fasttoken,ftn,Fasttoken,https://coin-images.coingecko.com/coins/images/28478/large/lightenicon_200x200.png?1696527472,4.44,1912215025,54,3861777044,56551891.0,4.45,4.43,0.0007339,0.01655,1543336.0,0.08077,431160771.8,870742437.0,1000000000.0,4.46,-0.44813,2025-06-20T17:40:54.918Z,0.398142,1015.79749,2023-01-21T10:15:39.503Z,,2025-07-06T13:01:26.697Z
mantle,mnt,Mantle,https://coin-images.coingecko.com/coins/images/30980/large/Mantle-Logo-mark.png?1739213200,0.562357,1894292586,55,3500274929,133274457.0,0.570054,0.556875,-0.004720800561496263,-0.83248,-15596353.250946999,-0.81661,3365794382.83684,6219316794.99,6219316794.99,1.54,-63.39597,2024-04-08T09:45:25.482Z,0.307978,82.88059,2023-10-18T02:50:46.942Z,,2025-07-06T13:01:29.148Z
cosmos,atom,Cosmos Hub,https://coin-images.coingecko.com/coins/images/1481/large/cosmos_hub.png?1696502525,4.02,1840575933,56,1840575933,41294425.0,4.02,3.95,0.02031652,0.50748,9759592.0,0.53307,457499179.941541,457499179.941541,,44.45,-90.94624,2022-01-17T00:34:41.497Z,1.16,246.8977,2020-03-13T02:27:44.591Z,"{'times': 39.2369325062947, 'currency': 'usd', 'percentage': 3923.69325062947}",2025-07-06T13:01:26.092Z
gatechain-token,gt,Gate,https://coin-images.coingecko.com/coins/images/8183/large/200X200.png?1735246724,15.28,1824627442,57,4582768193,3239853.0,15.32,15.04,-0.031923052677043984,-0.20853,-33001710.539421797,-1.77655,119444887.81900902,300000000.0,,25.94,-41.24403,2025-01-25T03:07:37.823Z,0.25754,5817.89489,2020-03-13T02:18:02.481Z,,2025-07-06T13:01:27.581Z
vechain,vet,VeChain,https://coin-images.coingecko.com/coins/images/1167/large/VET.png?1742383283,0.02067684,1776531644,58,1776531644,18694522.0,0.0207569,0.02040884,-3.6374229923617e-05,-0.17561,-5231167.123739004,-0.2936,85985041177.0,85985041177.0,86712634466.0,0.280991,-92.64665,2021-04-19T01:08:21.675Z,0.00191713,977.76852,2020-03-13T02:29:59.652Z,"{'times': 1.87139154007711, 'currency': 'eth', 'percentage': 187.139154007711}",2025-07-06T13:01:33.249Z
fetch-ai,fet,Artificial Superintelligence Alliance,https://coin-images.coingecko.com/coins/images/5681/large/ASI.png?1719827289,0.662595,1722497525,59,1794926059,80383414.0,0.671139,0.647959,-0.007260161654095709,-1.08384,-23195907.85267949,-1.32875,2604959126.672,2714493896.672,2714493896.672,3.45,-80.81742,2024-03-28T17:21:18.050Z,0.00816959,8010.49736,2020-03-13T02:24:18.347Z,"{'times': 6.64238351258201, 'currency': 'usd', 'percentage': 664.2383512582011}",2025-07-06T13:01:27.232Z
bonk,bonk,Bonk,https://coin-images.coingecko.com/coins/images/28600/large/bonk.jpg?1696527587,2.225e-05,1718205027,60,1970686613,1359150128.0,2.225e-05,1.784e-05,4.28e-06,23.85166,325877000.0,23.40519,77419592329436.58,88796011984977.4,88796011984977.4,5.825e-05,-62.36989,2024-11-20T04:01:06.465Z,8.6142e-08,25345.75575,2022-12-29T22:48:46.755Z,,2025-07-06T13:01:25.127Z
official-trump,trump,Official Trump,https://coin-images.coingecko.com/coins/images/53746/large/trump.png?1737171561,8.53,1706956308,61,8534782582,102469043.0,8.59,8.45,-0.05552492129344344,-0.64641,-10627125.54350543,-0.61873,199999975.635993,1000000000.0,1000000000.0,73.43,-88.38923,2025-01-19T11:50:34.806Z,4.29,98.70675,2025-01-18T03:40:29.231Z,,2025-07-06T13:01:30.289Z
lombard-staked-btc,lbtc,Lombard Staked BTC,https://coin-images.coingecko.com/coins/images/39969/large/LBTC_Logo.png?1724959872,108161.0,1649782362,62,1649782362,4147240.0,109014.0,107342.0,53.71,0.04968,-45921040.814817905,-2.70808,15252.22409290004,15252.22409290004,,114576.0,-5.49833,2025-02-04T01:47:44.052Z,52119.0,107.74607,2024-09-06T21:01:52.094Z,,2025-07-06T13:01:28.680Z
render-token,render,Render,https://coin-images.coingecko.com/coins/images/11636/large/rndr.png?1696511529,3.18,1648937065,63,1695911096,37663830.0,3.18,3.11,0.03693732,1.1739,19227543.0,1.17981,518128769.0562826,532888942.3362826,644245094.0,13.53,-76.55846,2024-03-17T16:30:24.636Z,0.03665669,8555.28492,2020-06-16T13:22:25.900Z,,2025-07-06T13:01:31.580Z
polygon-ecosystem-token,pol,POL (ex-MATIC),https://coin-images.coingecko.com/coins/images/32440/large/polygon.png?1698233684,0.182062,1638506231,64,1903762107,43948282.0,0.183145,0.179965,0.00162119,0.89846,14065179.0,0.86585,9001644142.078703,10458909885.58597,,1.29,-85.89793,2024-03-13T18:55:06.692Z,0.153392,18.37179,2025-04-07T07:06:08.017Z,,2025-07-06T13:01:31.323Z
ethena,ena,Ethena,https://coin-images.coingecko.com/coins/images/36530/large/ethena.png?1711701436,0.257286,1634378233,65,3857888133,65978652.0,0.257275,0.249798,0.00416934,1.6472,23616279.0,1.46616,6354687500.0,15000000000.0,,1.52,-83.12924,2024-04-11T13:15:15.057Z,0.195078,31.25413,2024-09-06T21:04:48.253Z,,2025-07-06T13:01:26.625Z
tokenize-xchange,tkx,Tokenize Xchange,https://coin-images.coingecko.com/coins/images/4984/large/TKX_-_Logo_-_RGB-15.png?1696505519,20.39,1631046849,66,2038910564,4157999.0,21.35,14.89,-0.9629974832413524,-4.51008,-77035944.5126214,-4.51008,79995997.76037452,100000000.0,100000000.0,50.43,-59.57056,2025-01-03T19:12:43.038Z,0.111255,18226.51449,2019-04-28T00:00:00.000Z,"{'times': 69.18625003618241, 'currency': 'usd', 'percentage': 6918.625003618241}",2025-07-06T13:01:32.582Z
